// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Wedding Related items
673,493,100	// Copper_Coin
1585,461,100	// Upg_Book
2015,461,100	// Upg_Staff
2149,461,100	// Upg_Guard
2150,461,100	// Upg_Buckler
2151,461,100	// Upg_Shield
2459,461,100	// Upg_Shoes
2460,461,100	// Upg_Boots
2461,461,100	// Upg_Greave
2561,461,100	// Upg_Hood
2562,461,100	// Upg_Muffler
2563,461,100	// Upg_Manteau
2634,507,100	// Bridegroom_Ring
2635,507,100	// Bride_Ring

// "2005 The Sign" related items
2828,461,100	// Upg_Clip
5182,453,100	// Puppy_Hat
5211,461,100	// Dress_Hat
6290,453,100	// Color_Style_Coupon
7040,511,100	// Megaphone
7177,507,100	// Part_Of_Star's_Sob
7178,507,100	// Star's_Sob
7304,507,100	// Witch's_Spell_Book
7305,507,100	// Authority_Of_Nine_World
7306,507,100	// Fragment_Of_Soul
7307,507,100	// Whisper_Of_Soul
7308,507,100	// Witch's_Potion
7309,507,100	// Wing_Of_Crow
2642,507,100	// Serin's_Gold_Ring
2644,507,100	// The_Sign_
7314,507,100	// The_Sign
7025,475,100	// Lucifer's_Lament

// "2nd Anniversary Event" items
// "Eye of Hellion" items
2647,507,100	// Nile_Rose
7332,507,100	// Slate
7333,507,100	// Piece_Of_Slate_1
7334,507,100	// Piece_Of_Slate_2
7335,507,100	// Piece_Of_Slate_3
7336,507,100	// Piece_Of_Slate_4
7339,507,100	// RO_Transportation_Card_
5132,472,100	// Angeling_Hat

// "Main Quest"/"Danilion's Request" items
7416,475,100	// Letter_Of_Recommend
7417,475,100	// Mission_ScrollA
7418,475,100	// Mission_ScrollB

// PVP Item
7420,498,100	// Skull_

// 10.3 Quest items
// * "Gaebolg family Curse" items
7431,499,100	// Several_Books
7432,507,100	// Leather_Pouch
// * "Thanatos Tower" items
7421,499,100	// Key_Red
7422,499,100	// Key_Yellow
7423,499,100	// Key_Blue
7424,499,100	// Key_Green
7425,499,100	// Key_Black
7426,499,100	// Magic_Gem_Red
7427,499,100	// Magic_Gem_Yellow
7428,499,100	// Magic_Gem_Blue
7429,499,100	// Magic_Gem_Green
7430,499,100	// Magic_Gem_Black

// Chinese New Year
7484,507,100	// Warrior_Symbol
7485,507,100	// 2nd_Floor_Pass
7486,507,100	// 3rd_Floor_Pass

// "Kiel Hyre's Cottage" Quest related items
7487,507,100	// Tavern_Wine
7488,507,100	// Delivery_Box
7489,507,100	// Villa_Spare_Key
7490,507,100	// Kyll_Hire_Letter
7491,507,100	// Iron_Box
7492,507,100	// Yellow_Key_Card
7493,507,100	// Golden_Key
