// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// Red Potion
IG_VioletBox,502,14	// Orange Potion
IG_VioletBox,503,14	// Yellow Potion
IG_VioletBox,504,14	// White Potion
IG_VioletBox,505,14	// Blue Potion
IG_VioletBox,506,14	// Green Potion
IG_VioletBox,518,14	// Honey
IG_VioletBox,520,14	// Hinalle Leaflet
IG_VioletBox,521,14	// Aloe Leaflet
IG_VioletBox,525,14	// Panacea
IG_VioletBox,526,14	// Royal Jelly
IG_VioletBox,529,14	// Candy
IG_VioletBox,530,14	// Candy Cane
IG_VioletBox,603,14	// Old Blue Box
IG_VioletBox,604,214	// Dead Branch
IG_VioletBox,605,14	// Anodyne
IG_VioletBox,606,14	// Aloevera
IG_VioletBox,607,14	// Yggdrasilberry
IG_VioletBox,608,14	// Yggdrasil Seed
IG_VioletBox,610,14	// Yggdrasil Leaf
IG_VioletBox,612,14	// Mini Furnace
IG_VioletBox,613,14	// Iron Hammer
IG_VioletBox,614,14	// Golden Hammer
IG_VioletBox,615,14	// Oridecon Hammer
IG_VioletBox,701,14	// Ora Ora
IG_VioletBox,702,14	// Animal Gore
IG_VioletBox,703,14	// Hinalle
IG_VioletBox,704,14	// Aloe
IG_VioletBox,706,14	// Four-Leaf Clover
IG_VioletBox,707,14	// Singing Plant
IG_VioletBox,708,14	// Ment
IG_VioletBox,710,14	// Illusion Flower
IG_VioletBox,714,14	// Emperium
IG_VioletBox,715,14	// Yellow Gemstone
IG_VioletBox,716,14	// Red Gemstone
IG_VioletBox,717,14	// Blue Gemstone
IG_VioletBox,718,14	// Garnet
IG_VioletBox,719,14	// Amethyst
IG_VioletBox,720,14	// Aquamarine
IG_VioletBox,721,14	// Emerald
IG_VioletBox,722,14	// Pearl
IG_VioletBox,723,14	// Ruby
IG_VioletBox,724,14	// Cursed Ruby
IG_VioletBox,725,14	// Sardonyx
IG_VioletBox,726,14	// Sapphire
IG_VioletBox,727,14	// Opal
IG_VioletBox,728,14	// Topaz
IG_VioletBox,729,14	// Zircon
IG_VioletBox,730,14	// 1 Carat Diamond
IG_VioletBox,731,14	// 2 Carat Diamond
IG_VioletBox,732,14	// 3 Carat Diamond
IG_VioletBox,733,14	// Cracked Diamond
IG_VioletBox,734,14	// Red Frame
IG_VioletBox,735,14	// Chung Jah
IG_VioletBox,736,14	// China
IG_VioletBox,737,14	// Black Ladle
IG_VioletBox,738,14	// Pencil Case
IG_VioletBox,740,14	// Puppet
IG_VioletBox,741,14	// Poring Doll
IG_VioletBox,742,14	// Chonchon Doll
IG_VioletBox,743,14	// Spore Doll
IG_VioletBox,745,14	// Wedding Bouquet
IG_VioletBox,747,14	// Crystal Mirror
IG_VioletBox,748,14	// Witherless Rose
IG_VioletBox,749,14	// Frozen Rose
IG_VioletBox,752,14	// Grasshopper Doll
IG_VioletBox,753,14	// Yoyo Doll
IG_VioletBox,754,14	// Raccoon Doll
IG_VioletBox,756,14	// Rough Oridecon
IG_VioletBox,757,14	// Rough Elunium
IG_VioletBox,909,14	// Jellopy
IG_VioletBox,910,14	// Garlet
IG_VioletBox,911,14	// Scell
IG_VioletBox,912,14	// Zargon
IG_VioletBox,931,14	// Orcish Voucher
IG_VioletBox,934,14	// Memento
IG_VioletBox,968,14	// Heroic Emblem
IG_VioletBox,969,14	// Gold
IG_VioletBox,970,14	// Alcohol
IG_VioletBox,971,14	// Detrimindexta
IG_VioletBox,972,14	// Karvodailnirol
IG_VioletBox,973,14	// Counteragent
IG_VioletBox,974,14	// Mixture
IG_VioletBox,975,14	// Scarlet Dyestuffs
IG_VioletBox,976,14	// Lemon Dyestuffs
IG_VioletBox,978,14	// Cobaltblue Dyestuff
IG_VioletBox,979,14	// Darkgreen Dyestuff
IG_VioletBox,980,14	// Orange Dyestuff
IG_VioletBox,981,14	// Violet Dyestuff
IG_VioletBox,982,14	// White Dyestuff
IG_VioletBox,983,14	// Black Dyestuff
IG_VioletBox,984,14	// Oridecon
IG_VioletBox,985,14	// Elunium
IG_VioletBox,986,14	// Anvil
IG_VioletBox,987,14	// Oridecon Anvil
IG_VioletBox,988,14	// Golden Anvil
IG_VioletBox,989,14	// Emperium Anvil
IG_VioletBox,990,14	// Red Blood
IG_VioletBox,991,14	// Crystal Blue
IG_VioletBox,992,14	// Wind of Verdure
IG_VioletBox,993,14	// Green Live
IG_VioletBox,994,14	// Flame Heart
IG_VioletBox,995,14	// Mystic Frozen
IG_VioletBox,996,14	// Rough Wind
IG_VioletBox,997,14	// Great Nature
IG_VioletBox,998,14	// Iron
IG_VioletBox,999,14	// Steel
IG_VioletBox,1000,14	// 	// Star Crumb
IG_VioletBox,1001,14	// Star Dust
IG_VioletBox,1002,14	// Iron Ore
IG_VioletBox,1003,14	// Coal
IG_VioletBox,1004,14	// Chivalry Emblem
IG_VioletBox,1005,14	// Hammer of Blacksmith
IG_VioletBox,1006,14	// Old Magic Book
IG_VioletBox,1007,14	// Necklace of Wisdom
IG_VioletBox,1008,14	// Necklace of Oblivion
IG_VioletBox,1009,14	// Hand of God
IG_VioletBox,1010,14	// Phracon
IG_VioletBox,1011,14	// Emveretarcon
IG_VioletBox,1065,14	// Trap
IG_VioletBox,1102,7	// Sword
IG_VioletBox,1105,7	// Falchion
