 

//= Payon Field's ============================================
pay_fild01,334,366,0	warp	pay#1	2,4,payon,90,29
pay_fild01,13,152,0	warp	pay#2	2,7,moc_fild03,299,170	
pay_fild01,278,14,0	warp	pay#3	13,2,pay_fild02,83,382	
pay_fild01,353,14,0	warp	pay#4	20,3,pay_fild02,160,381	
pay_fild01,379,201,0	warp	pay#5	2,6,pay_fild07,23,207	
pay_fild02,134,16,0	warp	pay#6	5,2,pay_fild05,127,375	
pay_fild02,16,175,0	warp	pay#7	2,4,pay_fild11,294,135	
pay_fild02,167,390,0	warp	pay#8	20,3,pay_fild01,354,18	
pay_fild02,284,108,0	warp	pay#9	2,7,pay_fild03,20,110	
pay_fild02,83,386,0	warp	pay#10	13,2,pay_fild01,278,18	
pay_fild03,15,110,0	warp	pay#11	2,10,pay_fild02,280,108	
pay_fild03,172,281,0	warp	pay#12	5,2,pay_fild07,167,20	
pay_fild03,313,16,0	warp	pay#13	4,2,pay_fild06,305,372	
pay_fild03,392,63,0	warp	pay#14	2,7,alberta,19,233	
pay_fild04,17,165,0	warp	pay#15	2,8,moc_fild01,376,162	
pay_fild04,194,17,0	warp	pay#16	7,2,moc_fild02,350,336	
pay_fild05,127,378,0	warp	pay#17	4,2,pay_fild02,134,19	
pay_fild05,271,284,0	warp	pay#18	2,4,pay_fild06,31,288	
pay_fild06,28,288,0	warp	pay#19	2,2,pay_fild05,268,284	
pay_fild06,305,375,0	warp	pay#20	6,2,pay_fild03,313,19	
pay_fild07,16,200,0	warp	pay#21	3,3,pay_fild01,371,205	
pay_fild07,163,17,0	warp	pay#22	5,2,pay_fild03,177,275	
pay_fild07,280,382,0	warp	pay#23	4,2,pay_fild08,160,19	
pay_fild07,382,290,0	warp	pay#24	2,5,pay_fild10,19,290	
pay_fild08,160,16,0	warp	pay#25	4,2,pay_fild07,280,379	
pay_fild08,17,75,0	warp	pay#26	2,4,payon,186,69	
pay_fild08,262,91,0	warp	pay#27	2,4,pay_fild09,19,91	
pay_fild09,112,16,0	warp	pay#28	4,2,pay_fild10,112,379	
pay_fild09,16,91,0	warp	pay#29	2,4,pay_fild08,259,91	
pay_fild10,112,382,0	warp	pay#30	3,2,pay_fild09,112,19	
pay_fild10,16,290,0	warp	pay#31	2,5,pay_fild07,379,290	
pay_fild10,99,13,0	warp	pay#32	1,1,pay_fild10,148,252	
pay_fild11,297,135,0	warp	pay#33	2,4,pay_fild02,19,175	
pay_fild11,38,330,0	warp	pay#34	4,2,moc_fild03,179,19	
